unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1596816000000,2020-08-07 16:00:00,ETH/USDT,385.47,386.89,378.94,379.11,63085.61701,24182487.72,28181
1596819600000,2020-08-07 17:00:00,ETH/USDT,379.11,379.67,362.85,373.56,222989.0606,83038929.98,85754
1596823200000,2020-08-07 18:00:00,ETH/USDT,373.55,374.01,364.6,373.2,104408.8128,38616920.18,45526
1596826800000,2020-08-07 19:00:00,ETH/USDT,373.19,376.81,372.33,374.36,48680.58252,18253778.49,22342
1596830400000,2020-08-07 20:00:00,ETH/USDT,374.36,380,373.06,377.43,41695.00557,15750245.36,20724
1596834000000,2020-08-07 21:00:00,ETH/USDT,377.46,379.76,376.22,379.29,20897.5652,7896483.582,11934
1596837600000,2020-08-07 22:00:00,ETH/USDT,379.28,383.23,378.07,380.22,28110.82009,10713720.45,14779
1596841200000,2020-08-07 23:00:00,ETH/USDT,380.22,382.84,378.5,379.34,17750.25756,6753829.246,10835
1596844800000,2020-08-08 0:00:00,ETH/USDT,379.34,380.48,375.79,379.3,24944.5968,9435398.321,13273
1596848400000,2020-08-08 1:00:00,ETH/USDT,379.31,382.73,379.3,381.41,26927.33472,10261928.34,11485
1596852000000,2020-08-08 2:00:00,ETH/USDT,381.41,382.43,378.01,380.54,16868.09697,6409932.974,9587
1596855600000,2020-08-08 3:00:00,ETH/USDT,380.54,380.59,376.86,378.01,16829.15829,6373334.635,8918
1596859200000,2020-08-08 4:00:00,ETH/USDT,378.01,379.5,377.13,377.19,18035.23535,6827757.183,8589
1596862800000,2020-08-08 5:00:00,ETH/USDT,377.19,381.09,377.14,380.43,13714.48927,5202293.712,8902
1596866400000,2020-08-08 6:00:00,ETH/USDT,380.42,381,379.72,380.32,12692.56341,4825279.476,7230
1596870000000,2020-08-08 7:00:00,ETH/USDT,380.34,381.56,379.78,379.97,13626.7905,5186699.406,7969
1596873600000,2020-08-08 8:00:00,ETH/USDT,379.96,380.56,377.95,378.82,19304.74967,7314852.824,9873
1596877200000,2020-08-08 9:00:00,ETH/USDT,378.82,386.17,378.82,385.86,37655.10704,14437278.88,17630
1596880800000,2020-08-08 10:00:00,ETH/USDT,385.86,388.62,384.16,387.25,33176.97379,12822460.99,16452
1596884400000,2020-08-08 11:00:00,ETH/USDT,387.27,392.23,387.26,391.61,44293.65102,17277648.21,20052
1596888000000,2020-08-08 12:00:00,ETH/USDT,391.62,393.22,389.66,391.51,40578.94566,15889338.31,15453
1596891600000,2020-08-08 13:00:00,ETH/USDT,391.51,392.13,388.95,390.19,27367.59664,10682952.21,11104
1596895200000,2020-08-08 14:00:00,ETH/USDT,390.19,390.99,387.56,389.83,25940.77317,10094839.06,11731
1596898800000,2020-08-08 15:00:00,ETH/USDT,389.84,392.48,389.77,390.46,32518.4562,12721002.36,13044
1596902400000,2020-08-08 16:00:00,ETH/USDT,390.47,391.3,385.79,390.04,51538.77882,20004944.11,20965
1596906000000,2020-08-08 17:00:00,ETH/USDT,390.03,392.55,386.8,391.57,30379.09258,11862304.6,13881
1596909600000,2020-08-08 18:00:00,ETH/USDT,391.54,391.57,388.9,390.87,19012.54111,7424777.478,10284
1596913200000,2020-08-08 19:00:00,ETH/USDT,390.87,391.52,387,389.26,23582.61899,9179260.406,14508
1596916800000,2020-08-08 20:00:00,ETH/USDT,389.26,389.39,386.52,388.06,17160.28272,6656986.911,10407
1596920400000,2020-08-08 21:00:00,ETH/USDT,388.07,391.23,387.88,391.2,19271.65673,7511643.726,11324
1596924000000,2020-08-08 22:00:00,ETH/USDT,391.2,392,389.34,390.74,14902.96269,5824671.722,9779
1596927600000,2020-08-08 23:00:00,ETH/USDT,390.74,397.05,388.51,397.03,42707.32839,16771612.19,18137
1596931200000,2020-08-09 0:00:00,ETH/USDT,397.05,400,396.09,397.89,81334.02098,32404218.73,35733
1596934800000,2020-08-09 1:00:00,ETH/USDT,397.95,398.3,392.77,395.62,35349.04462,13969417.96,18575
1596938400000,2020-08-09 2:00:00,ETH/USDT,395.62,397.16,394.82,395.2,15928.2501,6306530.026,9931
1596942000000,2020-08-09 3:00:00,ETH/USDT,395.17,397.4,394.51,394.87,18388.51275,7280544.491,10556
1596945600000,2020-08-09 4:00:00,ETH/USDT,394.86,395.72,393.13,393.91,14520.84952,5727535.068,8002
1596949200000,2020-08-09 5:00:00,ETH/USDT,393.85,395.39,392.53,392.53,18440.89406,7265141.129,10338
1596952800000,2020-08-09 6:00:00,ETH/USDT,392.54,394.75,392.3,392.78,14345.97497,5646935.452,7713
1596956400000,2020-08-09 7:00:00,ETH/USDT,392.78,395.6,392.7,395.34,14052.21972,5543459.01,7897
1596960000000,2020-08-09 8:00:00,ETH/USDT,395.34,396.37,393.4,394.32,17484.92594,6905053.812,10228
1596963600000,2020-08-09 9:00:00,ETH/USDT,394.31,395.5,383.36,389.35,48213.53255,18834351.74,23453
1596967200000,2020-08-09 10:00:00,ETH/USDT,389.36,391.29,387,391.17,32508.27677,12657680.84,15492
1596970800000,2020-08-09 11:00:00,ETH/USDT,391.16,393.28,390.68,391.89,18331.11367,7189831.187,11586
1596974400000,2020-08-09 12:00:00,ETH/USDT,391.88,391.9,387.22,389.19,25251.34276,9829272.94,13556
1596978000000,2020-08-09 13:00:00,ETH/USDT,389.2,390.18,386.37,387.57,25687.37572,9969498.669,13474
1596981600000,2020-08-09 14:00:00,ETH/USDT,387.58,388.6,384.15,385.51,31384.24977,12124903.67,18288
1596985200000,2020-08-09 15:00:00,ETH/USDT,385.5,388.15,384,386.66,24536.49024,9469590.091,12767
1596988800000,2020-08-09 16:00:00,ETH/USDT,386.64,391.38,385.68,387.84,27250.88685,10598748.47,16236
1596992400000,2020-08-09 17:00:00,ETH/USDT,387.84,389.27,384.34,385.08,24930.76762,9636113.468,14732
1596996000000,2020-08-09 18:00:00,ETH/USDT,385.09,390.15,385.02,390,17108.98825,6637533.972,10547
